Estilo,Ano,Potencia_motor,Cilindros_motor,Consumo_estrada_km,Valor
perua,2001,122.0,4.0,48.2802,15699
seda,2015,145.0,4.0,59.54558,21700
seda,2016,140.0,4.0,67.59228,19135
picape cabine simples,2017,285.0,6.0,38.62416,33860
conversivel,2011,189.0,4.0,43.45218,51845
minivan de passageiros,2015,283.0,6.0,40.2335,30995
SUV 4 portas,2003,165.0,6.0,30.57746,27777
conversivel,2009,173.0,4.0,40.2335,29410
picape cabine estendida,2007,207.0,6.0,27.35878,26590
hatchback 4 portas,2013,148.0,4.0,46.67086,19175
minivan de passageiros,2016,266.0,6.0,40.2335,41900
SUV 4 portas,2015,182.0,4.0,51.49888,26170
seda,2005,155.0,6.0,40.2335,17549
SUV 4 portas,2015,240.0,6.0,40.2335,40350
SUV 4 portas,2015,288.0,6.0,37.01482,43935
seda,2015,189.0,4.0,54.71756,23865
cupe,2016,272.0,4.0,48.2802,44520
seda,1994,200.0,8.0,38.62416,2000
SUV 4 portas,2017,390.0,8.0,28.96812,47800
seda,2017,168.0,4.0,48.2802,21095
picape cabine simples,1996,134.0,4.0,28.96812,2354
picape cabine estendida,1996,190.0,6.0,28.96812,2922
SUV 4 portas,2016,365.0,6.0,35.40548,60335
seda,2016,305.0,4.0,37.01482,34695
perua,2010,207.0,4.0,49.88954,30330
seda,2017,106.0,4.0,62.76426,15950
seda,2016,425.0,6.0,41.84284,63500
SUV 4 portas,2009,166.0,4.0,40.2335,24070
hatchback 4 portas,2011,148.0,4.0,46.67086,19349
seda,2002,210.0,6.0,37.01482,26997
picape cabine dupla,2017,381.0,8.0,28.96812,41145
hatchback 4 portas,2015,170.0,4.0,57.93624,27395
seda,1990,190.0,6.0,35.40548,2000
seda,2016,288.0,6.0,43.45218,34460
picape cabine dupla,2016,282.0,6.0,37.01482,40635
hatchback 2 portas,2000,305.0,8.0,37.01482,8548
picape cabine simples,2000,143.0,6.0,33.79614,2689
SUV 4 portas,2008,297.0,6.0,37.01482,36850
cupe,2016,332.0,6.0,41.84284,37970
seda,2010,168.0,5.0,46.67086,26200
seda,2015,200.0,4.0,62.76426,40580
minivan de passageiros,2016,248.0,6.0,45.06152,33500
minivan de carga,2001,200.0,6.0,35.40548,20220
SUV 4 portas,2016,180.0,4.0,48.2802,27035
SUV 4 portas,2015,184.0,4.0,48.2802,24395
picape cabine simples,1998,230.0,8.0,27.35878,2697
SUV 4 portas,2011,166.0,4.0,37.01482,22899
SUV 4 portas,2017,240.0,4.0,40.2335,37695
conversivel,2017,160.0,4.0,56.3269,28195
seda,1994,172.0,6.0,35.40548,2000
seda,2015,200.0,4.0,51.49888,32995
hatchback 2 portas,2006,172.0,6.0,38.62416,21595
seda,2007,303.0,8.0,40.2335,28815
seda,2011,227.0,6.0,43.45218,29730
cupe,2015,323.0,6.0,45.06152,29205
SUV 4 portas,2015,300.0,6.0,38.62416,43850
hatchback 4 portas,2005,200.0,6.0,45.06152,20965
hatchback 4 portas,1996,185.0,4.0,37.01482,2000
seda,2017,201.0,4.0,48.2802,21650
seda,1994,120.0,4.0,45.06152,2000
SUV 4 portas,2007,252.0,6.0,33.79614,28649
hatchback 2 portas,1992,100.0,4.0,46.67086,2000
picape cabine estendida,1995,134.0,4.0,38.62416,2000
SUV 4 portas,2017,237.0,4.0,37.01482,34000
hatchback 2 portas,2013,200.0,4.0,49.88954,30395
hatchback 4 portas,2014,99.0,4.0,74.02964,19080
van de carga,2014,255.0,8.0,25.74944,32760
minivan de passageiros,2016,266.0,6.0,40.2335,38605
perua,2013,268.0,6.0,41.84284,33330
minivan de passageiros,2007,240.0,6.0,37.01482,30780
picape cabine estendida,2016,282.0,6.0,40.2335,34790
SUV 4 portas,2004,302.0,8.0,25.74944,45705
seda,2009,173.0,4.0,48.2802,20515
seda,2017,292.0,6.0,43.45218,41135
SUV 4 portas,2016,355.0,8.0,37.01482,61740
SUV 4 portas,2017,283.0,6.0,40.2335,31795
hatchback 4 portas,2013,148.0,4.0,51.49888,18495
perua,2001,122.0,4.0,51.49888,14499
seda,2016,148.0,4.0,59.54558,22595
seda,2016,200.0,4.0,62.76426,38100
picape cabine estendida,2011,143.0,4.0,43.45218,20740
seda,2015,321.0,6.0,46.67086,52970
seda,2008,325.0,8.0,32.1868,52750
seda,2001,170.0,6.0,38.62416,28025
cupe,2015,323.0,6.0,48.2802,25145
perua,2014,201.0,4.0,48.2802,31985
seda,2016,325.0,6.0,43.45218,47700
conversivel,2005,138.0,4.0,46.67086,25145
van de carga,2014,285.0,8.0,27.35878,31075
picape cabine dupla,2016,285.0,6.0,38.62416,36230
seda,2007,127.0,4.0,45.06152,14499
hatchback 4 portas,2017,78.0,3.0,69.20162,14195
seda,1999,160.0,6.0,41.84284,2000
seda,2017,212.0,4.0,75.63898,32905
seda,2016,210.0,4.0,53.10822,29280
seda,2017,320.0,6.0,51.49888,48300
SUV 4 portas,2015,200.0,4.0,41.84284,31260
picape cabine simples,1999,150.0,6.0,32.1868,3011
SUV 4 portas,2016,281.0,6.0,35.40548,38755
picape cabine dupla,2016,305.0,6.0,41.84284,30765
conversivel,2007,306.0,6.0,37.01482,38900
seda,1991,177.0,6.0,30.57746,2124
SUV 4 portas,2017,138.0,4.0,54.71756,25565
hatchback 4 portas,2012,200.0,4.0,49.88954,24595
SUV 4 portas,2016,148.0,4.0,46.67086,22195
hatchback 4 portas,2015,173.0,4.0,53.10822,19690
seda,2017,265.0,4.0,48.2802,53495
picape cabine simples,2007,143.0,4.0,41.84284,15535
seda,2017,400.0,6.0,41.84284,48700
picape cabine estendida,1993,230.0,8.0,24.1401,2008
seda,2017,272.0,4.0,48.2802,36595
picape cabine dupla,2005,165.0,4.0,40.2335,22345
perua,2010,207.0,4.0,43.45218,36975
perua,2016,240.0,4.0,46.67086,36150
cupe,1993,141.0,6.0,41.84284,2000
conversivel,1997,170.0,6.0,37.01482,2117
seda,2016,160.0,4.0,62.76426,19495
SUV 4 portas,2017,300.0,6.0,40.2335,55500
minivan de passageiros,2016,248.0,6.0,45.06152,29400
seda,2016,335.0,6.0,45.06152,47155
seda,2017,241.0,4.0,54.71756,39850
seda,2017,124.0,4.0,59.54558,19990
seda,2000,168.0,5.0,41.84284,2305
picape cabine dupla,2016,381.0,8.0,28.96812,46530
SUV 4 portas,2017,197.0,4.0,46.67086,37720
minivan de passageiros,2011,283.0,6.0,40.2335,33790
SUV 4 portas,2015,355.0,8.0,35.40548,49300
picape cabine dupla,2013,250.0,6.0,33.79614,32155
SUV 2 portas,1994,165.0,6.0,32.1868,2000
hatchback 4 portas,2016,120.0,4.0,56.3269,16110
seda,1995,205.0,6.0,41.84284,2000
seda,2009,415.0,8.0,32.1868,37610
picape cabine estendida,1998,230.0,8.0,28.96812,3357
hatchback 2 portas,1992,195.0,4.0,37.01482,2000
SUV 4 portas,2016,355.0,8.0,37.01482,49700
SUV 4 portas,2016,182.0,4.0,51.49888,33975
seda,1990,134.0,6.0,37.01482,2144
cupe,1998,290.0,8.0,37.01482,3442
picape cabine dupla,2008,210.0,6.0,32.1868,25400
cupe,2016,306.0,6.0,45.06152,42780
hatchback 2 portas,1999,140.0,4.0,46.67086,2799
perua,2010,158.0,4.0,49.88954,16975
picape cabine simples,2007,285.0,8.0,30.57746,23640
SUV 4 portas,2003,165.0,6.0,30.57746,21430
conversivel,2017,402.0,8.0,40.2335,69100
SUV 4 portas,2015,182.0,4.0,46.67086,27920
SUV 4 portas,1993,165.0,6.0,35.40548,2000
hatchback 4 portas,2015,84.0,4.0,62.76426,12270
SUV 4 portas,2016,293.0,6.0,40.2335,33095
hatchback 4 portas,2013,200.0,4.0,49.88954,27295
picape cabine dupla,2015,317.0,8.0,28.96812,34140
hatchback 4 portas,2013,278.0,6.0,48.2802,33540
conversivel,2016,101.0,4.0,64.3736,24495
seda,2016,188.0,4.0,62.76426,35190
hatchback 4 portas,2016,188.0,4.0,51.49888,20250
SUV 4 portas,2014,317.0,8.0,28.96812,42890
hatchback 4 portas,2015,300.0,6.0,41.84284,63000
picape cabine estendida,2015,325.0,6.0,41.84284,35310
conversivel,2016,210.0,4.0,49.88954,36050
hatchback 4 portas,2013,200.0,4.0,53.10822,32095
seda,2016,400.0,6.0,41.84284,49950
hatchback 2 portas,2000,140.0,4.0,45.06152,3086
picape cabine estendida,2009,207.0,6.0,33.79614,21050
perua,1990,162.0,4.0,32.1868,2000
perua,2009,150.0,4.0,38.62416,20780
picape cabine dupla,2012,261.0,6.0,30.57746,28699
hatchback 2 portas,2006,172.0,6.0,38.62416,19595
cupe,2014,166.0,4.0,54.71756,19600
SUV 2 portas,2003,203.0,6.0,30.57746,25595
seda,2016,197.0,4.0,54.71756,28420
SUV 4 portas,2004,185.0,6.0,32.1868,20099
SUV 4 portas,2016,270.0,6.0,33.79614,35885
hatchback 2 portas,1992,93.0,4.0,46.67086,2000
conversivel,2014,167.0,4.0,45.06152,26905
seda,2015,272.0,4.0,48.2802,35245
seda,1997,205.0,6.0,41.84284,2000
seda,2014,196.0,4.0,74.02964,39780
SUV 4 portas,1991,150.0,6.0,35.40548,2000
picape cabine simples,1996,134.0,4.0,38.62416,2122
conversivel,1993,389.0,12.0,25.74944,4623
SUV 2 portas,2000,190.0,6.0,32.1868,2407
SUV 4 portas,2016,184.0,4.0,53.10822,23595
picape cabine estendida,2015,325.0,6.0,41.84284,39310
hatchback 2 portas,2012,200.0,4.0,49.88954,27845
picape cabine dupla,2017,390.0,8.0,33.79614,52310
SUV 4 portas,2008,302.0,8.0,30.57746,32905
SUV 4 portas,2013,260.0,6.0,32.1868,28620
SUV 4 portas,2008,285.0,6.0,32.1868,31810
hatchback 4 portas,2010,271.0,6.0,40.2335,34020
SUV 4 portas,2015,245.0,4.0,48.2802,28100
conversivel,2016,210.0,4.0,49.88954,32670
SUV 4 portas,2003,217.0,8.0,22.53076,34350
seda,2016,153.0,4.0,67.59228,19120
picape cabine simples,2017,285.0,6.0,38.62416,27585
hatchback 4 portas,2015,300.0,6.0,45.06152,60700
cupe,1995,300.0,6.0,35.40548,3049
hatchback 4 portas,2014,200.0,4.0,49.88954,25095
hatchback 4 portas,2015,445.0,8.0,38.62416,71400
seda,2017,185.0,4.0,57.93624,27150
SUV 4 portas,2015,180.0,4.0,40.2335,27950
perua,2016,345.0,6.0,43.45218,61300
SUV 4 portas,2015,302.0,6.0,35.40548,50800
SUV 4 portas,2013,261.0,6.0,35.40548,22940
cupe,1997,114.0,4.0,49.88954,2000
SUV 4 portas,2007,245.0,6.0,33.79614,35495
SUV 4 portas,2015,260.0,6.0,41.84284,34500
picape cabine estendida,2016,285.0,6.0,38.62416,32870
seda,2012,201.0,4.0,46.67086,31010
seda,2016,185.0,4.0,57.93624,27350
seda,1997,222.0,5.0,38.62416,2000
SUV 4 portas,2016,360.0,8.0,35.40548,41995
seda,1993,113.0,4.0,49.88954,2000
cupe,1998,225.0,6.0,35.40548,3211
SUV 4 portas,2015,200.0,4.0,41.84284,39625
picape cabine simples,1999,220.0,8.0,25.74944,3583
cupe,2015,332.0,6.0,41.84284,34870
seda,1991,114.0,4.0,38.62416,2000
seda,2003,205.0,6.0,37.01482,25997
seda,1997,168.0,5.0,41.84284,2000
cupe,2017,485.0,8.0,37.01482,43995
seda,2015,115.0,4.0,54.71756,18425
hatchback 4 portas,2015,74.0,3.0,70.81096,15395
perua,2004,170.0,4.0,43.45218,25700
cupe,2016,174.0,4.0,65.98294,23425
SUV 4 portas,2016,141.0,4.0,51.49888,23365
SUV 4 portas,2016,300.0,6.0,38.62416,57000
seda,2015,150.0,4.0,67.59228,29125
picape cabine dupla,2008,292.0,8.0,30.57746,29235
perua,2012,158.0,4.0,51.49888,18730
picape cabine estendida,2002,190.0,6.0,32.1868,17284
SUV 4 portas,2016,170.0,4.0,51.49888,26130
seda,2016,155.0,4.0,65.98294,22545
picape cabine estendida,2003,207.0,6.0,27.35878,23150
seda,2014,335.0,6.0,48.2802,61400
hatchback 2 portas,2015,150.0,4.0,65.98294,28810
seda,2017,300.0,6.0,48.2802,34590
SUV 4 portas,2009,166.0,4.0,40.2335,25770
SUV 4 portas,2003,302.0,8.0,27.35878,39485
seda,2016,170.0,4.0,61.15492,26280
picape cabine estendida,2017,285.0,6.0,35.40548,36210
hatchback 2 portas,2015,210.0,4.0,49.88954,28115
hatchback 2 portas,2016,210.0,4.0,49.88954,32550
SUV 4 portas,2012,161.0,4.0,43.45218,26590
SUV 4 portas,2017,220.0,4.0,43.45218,43150
picape cabine dupla,2009,292.0,8.0,30.57746,29820
SUV 4 portas,2017,250.0,4.0,41.84284,51150
seda,2015,155.0,4.0,65.98294,20645
picape cabine dupla,2013,320.0,8.0,33.79614,47885
SUV 4 portas,2017,138.0,4.0,49.88954,27065
picape cabine dupla,2015,317.0,8.0,27.35878,34910
hatchback 2 portas,1994,113.0,4.0,43.45218,2000
SUV 4 portas,2014,302.0,6.0,38.62416,39480
SUV 4 portas,2009,242.0,5.0,28.96812,43130
seda,2016,185.0,4.0,59.54558,26380
SUV 4 portas,2016,220.0,4.0,45.06152,40900
picape cabine dupla,2017,355.0,8.0,35.40548,44350
picape cabine dupla,2017,285.0,6.0,35.40548,42555
minivan de passageiros,2002,185.0,6.0,38.62416,33400
picape cabine estendida,1993,150.0,6.0,27.35878,2221
hatchback 4 portas,1995,63.0,4.0,61.15492,2000
SUV 4 portas,2017,146.0,4.0,54.71756,19960
picape cabine simples,2016,282.0,6.0,40.2335,26840
picape cabine simples,1998,200.0,6.0,33.79614,2653
picape cabine estendida,2015,325.0,6.0,37.01482,42735
perua,2015,268.0,6.0,40.2335,35600
van de passageiros,2015,275.0,6.0,30.57746,32270
hatchback 4 portas,2012,128.0,4.0,53.10822,16145
picape cabine estendida,2011,152.0,4.0,37.01482,17595
SUV 4 portas,2015,182.0,4.0,51.49888,22120
seda,2008,200.0,4.0,46.67086,25375
minivan de passageiros,2017,287.0,6.0,45.06152,37895
minivan de passageiros,2016,266.0,6.0,40.2335,39930
SUV 4 portas,2013,325.0,6.0,40.2335,36900
seda,2007,306.0,6.0,38.62416,31900
minivan de passageiros,2005,200.0,6.0,37.01482,27890
SUV Conversível,1996,95.0,4.0,38.62416,2000
SUV 4 portas,2015,250.0,6.0,40.2335,29870
SUV 4 portas,2005,275.0,6.0,28.96812,33810
seda,2017,220.0,4.0,56.3269,43150
seda,1997,205.0,6.0,41.84284,2000
SUV 4 portas,2017,280.0,6.0,43.45218,36455
picape cabine estendida,2015,285.0,6.0,38.62416,34280
SUV 2 portas,1995,205.0,8.0,27.35878,2872
picape cabine estendida,2010,261.0,6.0,32.1868,23245
seda,1993,276.0,8.0,28.96812,2149
perua,2008,235.0,6.0,38.62416,32465
SUV 4 portas,2003,190.0,6.0,27.35878,26695
minivan de passageiros,2015,260.0,6.0,43.45218,43180
perua,2017,188.0,4.0,59.54558,24120
cupe,2015,272.0,4.0,49.88954,41920
seda,2008,361.0,8.0,38.62416,29310
hatchback 2 portas,1992,224.0,4.0,38.62416,2000
SUV 4 portas,2016,240.0,4.0,49.88954,39850
seda,1991,177.0,6.0,35.40548,2000
seda,1991,156.0,6.0,37.01482,2000
cupe,1994,222.0,6.0,35.40548,2553
picape cabine dupla,2006,300.0,8.0,28.96812,31405
seda,2015,201.0,4.0,49.88954,29350
picape cabine simples,2008,310.0,8.0,25.74944,29395
picape cabine dupla,2010,210.0,6.0,30.57746,35590
hatchback 4 portas,2011,108.0,4.0,56.3269,15365
cupe,2010,155.0,4.0,59.54558,15670
SUV 4 portas,2017,284.0,6.0,43.45218,32980
minivan de passageiros,2003,190.0,6.0,25.74944,25690
SUV 4 portas,2005,185.0,6.0,32.1868,27799
seda,2016,469.0,8.0,40.2335,65250
SUV 4 portas,2006,291.0,6.0,28.96812,33160
seda,2006,126.0,4.0,45.06152,13799
seda,2013,204.0,6.0,48.2802,35065
cupe,1997,240.0,6.0,38.62416,2000
seda,2009,138.0,4.0,51.49888,14550
SUV 4 portas,2016,176.0,4.0,46.67086,25750
perua,2017,365.0,6.0,33.79614,49025
SUV 4 portas,2015,290.0,6.0,45.06152,54780
seda,2002,125.0,4.0,59.54558,14330
seda,2013,265.0,4.0,40.2335,25795
minivan de passageiros,2003,185.0,6.0,38.62416,31490
SUV 4 portas,2015,240.0,4.0,45.06152,40500
seda,2008,138.0,4.0,51.49888,13895
hatchback 2 portas,1991,63.0,4.0,61.15492,2000
seda,2014,429.0,8.0,37.01482,61250
perua,2012,140.0,4.0,67.59228,28120
cupe,1992,140.0,6.0,41.84284,2000
seda,2015,204.0,6.0,43.45218,39085
cupe,2017,278.0,6.0,51.49888,34375
picape cabine dupla,2015,200.0,4.0,43.45218,24330
picape cabine simples,2010,310.0,8.0,30.57746,25155
perua,2005,203.0,6.0,40.2335,26440
perua,2012,140.0,4.0,62.76426,29220
seda,2003,205.0,6.0,43.45218,26695
seda,2015,173.0,4.0,54.71756,21600
picape cabine dupla,2010,210.0,6.0,28.96812,29275
seda,2015,272.0,4.0,45.06152,37245
conversivel,2016,332.0,6.0,38.62416,48100
SUV 4 portas,2017,141.0,4.0,54.71756,24840
minivan de passageiros,2007,150.0,4.0,38.62416,19055
SUV 4 portas,2017,197.0,4.0,45.06152,39570
minivan de carga,2004,190.0,6.0,28.96812,25195
seda,2014,290.0,6.0,41.84284,34380
picape cabine estendida,2012,261.0,6.0,30.57746,26299
cupe,2008,210.0,6.0,43.45218,22510
picape cabine simples,2017,381.0,8.0,28.96812,30400
picape cabine dupla,2017,385.0,8.0,35.40548,52835
SUV 4 portas,2016,255.0,6.0,48.2802,57700
seda,2003,175.0,6.0,43.45218,22940
picape cabine estendida,2017,310.0,8.0,28.96812,34880
seda,2009,260.0,4.0,43.45218,42000
picape cabine simples,1991,143.0,6.0,32.1868,2000
perua,2007,203.0,6.0,35.40548,31055
seda,2016,420.0,8.0,37.01482,65350
seda,2013,200.0,4.0,51.49888,29300
SUV 4 portas,2013,332.0,8.0,37.01482,64805
hatchback 4 portas,2015,155.0,4.0,64.3736,21145
seda,2015,177.0,4.0,61.15492,23275
SUV 2 portas,1991,150.0,6.0,28.96812,2000
SUV 4 portas,2015,240.0,4.0,48.2802,48300
picape cabine simples,2016,285.0,6.0,35.40548,31035
minivan de passageiros,2007,240.0,6.0,37.01482,28000
picape cabine dupla,2017,381.0,8.0,28.96812,35420
picape cabine dupla,2015,355.0,8.0,37.01482,49965
SUV 4 portas,2015,300.0,6.0,41.84284,45500
SUV 4 portas,2016,182.0,4.0,46.67086,28550
seda,2005,140.0,4.0,53.10822,14610
cupe,2014,556.0,8.0,30.57746,63600
hatchback 2 portas,2015,170.0,4.0,57.93624,20395
seda,1993,172.0,6.0,32.1868,2000
SUV 4 portas,2015,138.0,4.0,54.71756,25030
conversivel,2005,280.0,8.0,35.40548,39415
hatchback 2 portas,2012,265.0,6.0,40.2335,29089
SUV 4 portas,1992,160.0,6.0,35.40548,2000
seda,2010,320.0,8.0,38.62416,56345
seda,1998,300.0,8.0,33.79614,3542
seda,2004,132.0,4.0,46.67086,14315
SUV 4 portas,1993,165.0,6.0,35.40548,2000
picape cabine estendida,2009,207.0,6.0,33.79614,21675
SUV 4 portas,2011,390.0,8.0,32.1868,57600
seda,2017,270.0,6.0,51.49888,27990
SUV 4 portas,2005,185.0,6.0,33.79614,24099
SUV 4 portas,2014,270.0,6.0,37.01482,41365
van de passageiros,2015,275.0,6.0,30.57746,40830
conversivel,2015,415.0,8.0,45.06152,70850
cupe,2016,460.0,8.0,46.67086,70145
picape cabine dupla,2015,305.0,6.0,41.84284,28630
picape cabine estendida,2016,282.0,6.0,37.01482,38215
seda,2011,239.0,8.0,38.62416,52895
SUV 4 portas,2016,265.0,6.0,43.45218,42600
picape cabine estendida,1990,160.0,6.0,30.57746,2000
hatchback 4 portas,2007,150.0,5.0,45.06152,18185
seda,2015,306.0,6.0,41.84284,50850
seda,2016,170.0,4.0,57.93624,23650
hatchback 4 portas,1995,136.0,4.0,38.62416,2000
picape cabine estendida,2007,310.0,8.0,27.35878,33785
cupe,2014,348.0,6.0,38.62416,33400
seda,2017,78.0,3.0,64.3736,13995
SUV 4 portas,2017,252.0,4.0,41.84284,44960
perua,2007,162.0,4.0,41.84284,16395
hatchback 4 portas,2016,109.0,4.0,64.3736,17980
picape cabine estendida,1998,230.0,8.0,27.35878,3034
minivan de passageiros,2008,250.0,6.0,37.01482,23995
SUV 4 portas,2015,260.0,6.0,41.84284,43250
conversivel,2008,306.0,6.0,38.62416,36280
picape cabine dupla,2006,300.0,8.0,28.96812,33330
seda,2010,227.0,5.0,43.45218,31350
picape cabine simples,1990,105.0,4.0,40.2335,2000
cupe,1993,92.0,4.0,51.49888,2000
cupe,2009,221.0,6.0,41.84284,24080
hatchback 2 portas,1993,63.0,4.0,61.15492,2000
picape cabine estendida,1999,160.0,6.0,30.57746,3696
SUV 4 portas,2007,291.0,6.0,32.1868,25045
picape cabine dupla,2017,261.0,6.0,37.01482,32510
seda,2016,150.0,4.0,62.76426,18675
picape cabine estendida,2010,210.0,6.0,28.96812,27880
hatchback 2 portas,1993,113.0,4.0,41.84284,2000
minivan de passageiros,2008,240.0,6.0,37.01482,21540
SUV 4 portas,2015,420.0,8.0,35.40548,72970
hatchback 4 portas,2017,201.0,4.0,46.67086,25890
seda,2016,201.0,4.0,57.93624,27900
SUV 4 portas,2017,245.0,4.0,43.45218,30945
SUV 4 portas,2016,280.0,6.0,43.45218,30145
SUV 4 portas,2015,355.0,8.0,37.01482,51505
picape cabine dupla,2015,285.0,6.0,35.40548,42310
cupe,2011,257.0,4.0,41.84284,70750
SUV 4 portas,2005,235.0,8.0,25.74944,65225
hatchback 4 portas,2017,120.0,4.0,56.3269,15660
seda,2009,320.0,8.0,38.62416,56345
seda,2012,300.0,6.0,38.62416,48200
hatchback 4 portas,2011,150.0,4.0,48.2802,16599
seda,2017,200.0,4.0,61.15492,26790
picape cabine dupla,2017,355.0,8.0,35.40548,47990
picape cabine dupla,2007,295.0,8.0,27.35878,33755
hatchback 2 portas,2016,220.0,4.0,54.71756,29520
seda,2015,330.0,6.0,41.84284,51350
picape cabine estendida,2017,385.0,8.0,33.79614,44540
seda,1992,158.0,6.0,37.01482,2000
SUV 4 portas,2017,240.0,4.0,45.06152,39485
picape cabine dupla,2016,385.0,8.0,33.79614,53475
seda,2003,140.0,4.0,48.2802,14230
conversivel,2016,160.0,4.0,54.71756,26695
perua,2016,220.0,4.0,45.06152,42700
minivan de passageiros,2017,276.0,6.0,40.2335,36900
seda,2014,265.0,4.0,40.2335,25995
cupe,2016,200.0,4.0,48.2802,29510
cupe,2016,240.0,4.0,54.71756,43850
SUV 4 portas,2013,148.0,4.0,48.2802,21995
seda,2012,160.0,4.0,48.2802,24299
minivan de passageiros,2017,296.0,6.0,43.45218,42145
SUV 2 portas,1994,160.0,6.0,30.57746,2000
seda,2016,241.0,4.0,54.71756,38950
seda,2013,210.0,4.0,51.49888,27520
seda,1995,260.0,8.0,37.01482,2000
SUV 4 portas,2015,355.0,8.0,37.01482,56225
cupe,2007,210.0,6.0,43.45218,26905
seda,2002,250.0,6.0,38.62416,28415
cupe,1996,106.0,4.0,56.3269,2000
hatchback 2 portas,1997,218.0,6.0,37.01482,3941
hatchback 4 portas,2015,84.0,4.0,62.76426,16535
conversivel,2017,310.0,4.0,43.45218,35145
perua,2012,220.0,4.0,48.2802,34975
SUV 4 portas,2016,184.0,4.0,48.2802,26465
seda,2016,175.0,4.0,57.93624,27145
seda,2016,174.0,4.0,67.59228,24700
hatchback 4 portas,2006,201.0,6.0,45.06152,20165
seda,2006,200.0,6.0,45.06152,21330
seda,2005,205.0,6.0,43.45218,26725
minivan de passageiros,1991,90.0,4.0,28.96812,2000
hatchback 4 portas,2016,98.0,4.0,65.98294,16185
cupe,2015,350.0,6.0,41.84284,45490
perua,2003,250.0,6.0,32.1868,41000
picape cabine estendida,2011,261.0,6.0,30.57746,25979
SUV 4 portas,2014,308.0,6.0,38.62416,37505
hatchback 2 portas,1998,185.0,4.0,40.2335,2000
SUV 4 portas,2016,138.0,4.0,48.2802,29800
minivan de passageiros,2000,158.0,6.0,37.01482,2169
picape cabine simples,1992,180.0,6.0,25.74944,2000
SUV 4 portas,2002,155.0,6.0,30.57746,20835
conversivel,2014,167.0,4.0,45.06152,23720
SUV 4 portas,2015,290.0,6.0,40.2335,30150
SUV 4 portas,2016,279.0,6.0,46.67086,35370
picape cabine estendida,2015,381.0,8.0,27.35878,33060
cupe,1995,222.0,6.0,35.40548,2774
conversivel,2013,320.0,6.0,40.2335,48250
seda,2015,180.0,4.0,57.93624,32950
conversivel,2015,306.0,6.0,43.45218,47640
seda,2005,140.0,4.0,53.10822,16290
picape cabine estendida,2002,190.0,6.0,32.1868,20984
hatchback 4 portas,2017,320.0,6.0,48.2802,49650
SUV 4 portas,2017,310.0,6.0,40.2335,43750
SUV 4 portas,2016,254.0,6.0,46.67086,66450
SUV 4 portas,2004,185.0,6.0,32.1868,25499
SUV 4 portas,2017,166.0,4.0,46.67086,26495
SUV 4 portas,2002,127.0,4.0,37.01482,19199
SUV 4 portas,2016,168.0,4.0,45.06152,21295
seda,2010,302.0,6.0,43.45218,50385
hatchback 4 portas,2016,170.0,4.0,57.93624,27425
SUV 4 portas,2016,290.0,6.0,43.45218,47440
SUV 4 portas,2017,241.0,4.0,45.06152,39150
conversivel,2016,210.0,4.0,49.88954,30890
seda,2016,292.0,6.0,49.88954,27995
picape cabine simples,2015,282.0,6.0,40.2335,31320
hatchback 4 portas,2015,137.0,4.0,59.54558,16195
minivan de carga,2016,131.0,4.0,41.84284,21955
minivan de passageiros,1996,161.0,4.0,30.57746,2196
SUV 4 portas,2017,310.0,6.0,40.2335,41750
SUV 4 portas,2015,182.0,4.0,51.49888,28060
conversivel,2015,580.0,8.0,30.57746,60705
SUV 4 portas,2016,445.0,8.0,33.79614,71500
seda,2005,232.0,6.0,38.62416,36360
picape cabine estendida,2002,190.0,6.0,32.1868,23539
perua,2014,268.0,6.0,40.2335,35080
SUV 4 portas,2016,184.0,4.0,48.2802,24895
cupe,1997,150.0,4.0,46.67086,2000
conversivel,2015,170.0,4.0,51.49888,27995
seda,2017,400.0,6.0,41.84284,50700
seda,2012,420.0,8.0,38.62416,59200
cupe,2017,292.0,4.0,43.45218,52500
conversivel,2016,210.0,4.0,49.88954,31570
hatchback 4 portas,2017,109.0,4.0,62.76426,18710
SUV 4 portas,2017,240.0,4.0,40.2335,42195
SUV 4 portas,2016,138.0,4.0,49.88954,24145
hatchback 4 portas,2015,278.0,6.0,48.2802,31190
seda,2016,155.0,4.0,65.98294,17845
perua,2005,155.0,4.0,41.84284,17849
seda,2016,150.0,4.0,69.20162,33200
picape cabine simples,2015,285.0,6.0,35.40548,36825
perua,2009,150.0,4.0,41.84284,18000
seda,1993,74.0,4.0,59.54558,2000
SUV 4 portas,2015,175.0,4.0,53.10822,27295
perua,2006,203.0,6.0,40.2335,25105
conversivel,1998,305.0,8.0,38.62416,4059
SUV 4 portas,2009,300.0,8.0,33.79614,36535
seda,2001,125.0,4.0,40.2335,20935
picape cabine estendida,1994,150.0,6.0,32.1868,2188
seda,2015,306.0,6.0,41.84284,42300
cupe,1993,141.0,6.0,41.84284,2000
hatchback 2 portas,2015,170.0,4.0,53.10822,20695
perua,2009,210.0,4.0,46.67086,31790
seda,2016,184.0,4.0,56.3269,24395
seda,2017,241.0,4.0,54.71756,39500
SUV 4 portas,2006,291.0,6.0,30.57746,25880
hatchback 2 portas,2016,201.0,4.0,53.10822,23800
cupe,2016,240.0,4.0,56.3269,34850
SUV 4 portas,2015,138.0,4.0,53.10822,27950
SUV 4 portas,2015,260.0,6.0,43.45218,36210
